Jersey,Name,Position,Age,Height,Weight,Years,College,Team,Position Group,Side,Level
53,A.Q. Shipley,C,30,73,307,5,Penn State,Arizona,OL,OFF,5-8 Yrs
77,Evan Boehm,C,22,74,309,0,Missouri,Arizona,OL,OFF,Rookie
65,Taylor Boggs,C,29,75,302,4,Humboldt State,Arizona,OL,OFF,1-4 Yrs
28,Justin Bethel,CB,26,72,200,5,Presbyterian College,Arizona,DB,DEF,5-8 Yrs
1,Harlan Miller,CB,22,72,182,0,Southeastern Louisiana,Arizona,DB,DEF,Rookie
35,Cariel Brooks,CB,25,69,200,2,Adams State,Arizona,DB,DEF,1-4 Yrs
43,Mike Jenkins,CB,31,70,197,9,South Florida,Arizona,DB,DEF,9-12 Yrs
25,Jerraud Powers,CB,29,70,187,8,Auburn,Arizona,DB,DEF,5-8 Yrs
46,Asa Jackson,CB,26,70,183,4,Cal Poly,Arizona,DB,DEF,1-4 Yrs
39,Shaun Prater,CB,26,70,190,4,Iowa,Arizona,DB,DEF,1-4 Yrs
--,Ronald Zamort,CB,24,70,174,0,Western Michigan,Arizona,DB,DEF,Rookie
21,Brandon Williams,CB,23,71,197,0,Texas A&M,Arizona,DB,DEF,Rookie
--,Elie Bouka,CB,--,73,205,0,--,Arizona,DB,DEF,Rookie
21,Patrick Peterson,CB,26,73,219,6,LSU,Arizona,DB,DEF,5-8 Yrs
--,Trevon Hartfield,CB,--,74,195,0,Southwestern Oklahoma,Arizona,DB,DEF,Rookie
55,Chandler Jones,DE,26,77,265,5,Syracuse,Arizona,Front Seven,DEF,5-8 Yrs
58,Tristan Okpalaugo,DE,26,78,250,0,Fresno State,Arizona,Front Seven,DEF,Rookie
92,Frostee Rucker,DT,32,75,280,11,USC,Arizona,Front Seven,DEF,9-12 Yrs
98,Corey Peters,DT,28,75,305,7,Kentucky,Arizona,Front Seven,DEF,5-8 Yrs
71,Red Bryant,DT,32,76,323,9,Texas A&M,Arizona,Front Seven,DEF,9-12 Yrs
91,Ed Stinson,DT,26,76,287,3,Alabama,Arizona,Front Seven,DEF,1-4 Yrs
72,Olsen Pierre,DT,24,76,293,1,Miami,Arizona,Front Seven,DEF,1-4 Yrs
5,Robert Nkemdiche,DT,21,76,296,0,Ole Miss,Arizona,Front Seven,DEF,Rookie
95,Rodney Gunter,DT,24,77,305,2,Delaware State,Arizona,Front Seven,DEF,1-4 Yrs
97,Josh Mauro,DT,25,78,282,3,Stanford,Arizona,Front Seven,DEF,1-4 Yrs
93,Calais Campbell,DT,29,80,300,9,Miami,Arizona,Front Seven,DEF,9-12 Yrs
78,Earl Watford,G,26,75,300,4,James Madison,Arizona,OL,OFF,1-4 Yrs
64,Jake Bernstein,G,23,76,304,0,Vanderbilt,Arizona,OL,OFF,Rookie
69,Evan Mathis,G,34,77,301,12,Alabama,Arizona,OL,OFF,9-12 Yrs
76,Mike Iupati,G,29,77,331,7,Idaho,Arizona,OL,OFF,5-8 Yrs
60,Antoine McClain,G,26,77,336,2,Clemson,Arizona,OL,OFF,1-4 Yrs
51,Kevin Minter,LB,25,72,246,4,LSU,Arizona,Front Seven,DEF,1-4 Yrs
42,Quayshawn Nealy,LB,24,72,237,1,Georgia Tech,Arizona,Front Seven,DEF,1-4 Yrs
--,Lamar Louis,LB,22,72,231,0,LSU,Arizona,Front Seven,DEF,Rookie
44,Markus Golden,LB,25,74,260,2,Missouri,Arizona,Front Seven,DEF,1-4 Yrs
50,Gabe Martin,LB,24,74,236,1,Bowling Green,Arizona,Front Seven,DEF,1-4 Yrs
88,Mike Reilly,LB,24,75,261,0,William & Mary,Arizona,Front Seven,DEF,Rookie
49,Zack Wagenmann,LB,23,75,250,2,Montana,Arizona,Front Seven,DEF,1-4 Yrs
57,Alex Okafor,LB,25,76,261,4,Texas,Arizona,Front Seven,DEF,1-4 Yrs
59,Alani Fua,LB,24,77,234,2,BYU,Arizona,Front Seven,DEF,1-4 Yrs
96,Kareem Martin,LB,24,78,272,3,North Carolina,Arizona,Front Seven,DEF,1-4 Yrs
47,Shaq Riddick,LB,23,78,260,2,West Virginia,Arizona,Front Seven,DEF,1-4 Yrs
10,Daniel Dillon,LS,23,75,225,0,Campbell,Arizona,ST,ST,Rookie
--,Kameron Canaday,LS,22,76,245,0,Portland State,Arizona,ST,ST,Rookie
94,Xavier Williams,NT,24,74,309,2,Northern Iowa,Arizona,Front Seven,DEF,1-4 Yrs
--,Givens Price,OT,21,76,295,0,Nebraska,Arizona,OL,OFF,Rookie
74,D.J. Humphries,OT,22,77,307,2,Florida,Arizona,OL,OFF,1-4 Yrs
78,Cole Toner,OT,22,77,305,0,Harvard,Arizona,OL,OFF,Rookie
--,Clay DeBord,OT,24,78,305,0,Eastern Washington,Arizona,OL,OFF,Rookie
67,Rob Crisp,OT,25,79,300,1,NC State,Arizona,OL,OFF,1-4 Yrs
73,John Wetzel,OT,25,79,328,1,Boston College,Arizona,OL,OFF,1-4 Yrs
68,Jared Veldheer,OT,29,80,321,7,Hillsdale,Arizona,OL,OFF,5-8 Yrs
--,Garrett Swanson,P,22,72,230,0,Fresno State,Arizona,ST,ST,Rookie
2,Drew Butler,P,27,73,217,4,Georgia,Arizona,ST,ST,1-4 Yrs
7,Chandler Catanzaro,PK,25,75,200,3,Clemson,Arizona,ST,ST,1-4 Yrs
9,Matt Barkley,QB,25,74,227,4,USC,Arizona,QB,OFF,1-4 Yrs
5,Drew Stanton,QB,32,75,243,10,Michigan State,Arizona,QB,OFF,9-12 Yrs
3,Carson Palmer,QB,36,77,235,14,USC,Arizona,QB,OFF,13+ Yrs
--,Jake Coker,QB,23,77,236,0,Alabama,Arizona,QB,OFF,Rookie
33,Kerwynn Williams,RB,25,68,198,3,Utah State,Arizona,Tailback,OFF,1-4 Yrs
38,Andre Ellington,RB,27,69,199,4,Clemson,Arizona,Tailback,OFF,1-4 Yrs
30,Stepfan Taylor,RB,25,69,216,4,Stanford,Arizona,Tailback,OFF,1-4 Yrs
23,Chris Johnson,RB,30,71,203,9,East Carolina,Arizona,Tailback,OFF,9-12 Yrs
31,David Johnson,RB,24,73,224,2,Northern Iowa,Arizona,Tailback,OFF,1-4 Yrs
--,Elijhaa Penny,RB,22,74,247,0,Idaho,Arizona,Tailback,OFF,Rookie
27,Tyvon Branch,S,29,72,210,9,Connecticut,Arizona,DB,DEF,9-12 Yrs
77,Tyrequek Zimmerman,S,23,72,213,1,Oregon State,Arizona,DB,DEF,1-4 Yrs
32,Tyrann Mathieu,S,24,69,186,4,LSU,Arizona,DB,DEF,1-4 Yrs
36,D.J. Swearinger,S,24,70,208,4,South Carolina,Arizona,DB,DEF,1-4 Yrs
--,Matthias Farley,S,24,71,210,0,Notre Dame,Arizona,DB,DEF,Rookie
22,Tony Jefferson,S,24,71,212,4,Oklahoma,Arizona,DB,DEF,1-4 Yrs
29,Chris Clemons,S,30,73,215,8,Clemson,Arizona,DB,DEF,5-8 Yrs
20,Deone Bucannon,S,23,73,211,3,Washington State,Arizona,DB,DEF,1-4 Yrs
1,Marqui Christian,S,21,73,200,0,Midwestern State,Arizona,DB,DEF,Rookie
37,Durell Eskridge,S,24,75,207,1,Syracuse,Arizona,DB,DEF,1-4 Yrs
83,Gerald Christian,TE,24,75,250,2,Louisville,Arizona,TE,OFF,1-4 Yrs
84,Jermaine Gresham,TE,28,77,260,7,Oklahoma,Arizona,TE,OFF,5-8 Yrs
80,Hakeem Valles,TE,23,77,260,0,Monmouth,Arizona,TE,OFF,Rookie
87,Troy Niklas,TE,23,78,270,3,Notre Dame,Arizona,TE,OFF,1-4 Yrs
85,Darren Fells,TE,30,79,281,3,UC Irvine,Arizona,TE,OFF,1-4 Yrs
80,Ifeanyi Momah,TE,26,79,255,2,Boston College,Arizona,TE,OFF,1-4 Yrs
--,Chris Hubert,WR,23,69,155,0,Fayetteville State,Arizona,WR,OFF,Rookie
14,J.J. Nelson,WR,24,70,160,2,UAB,Arizona,WR,OFF,1-4 Yrs
--,Amir Carlisle,WR,23,70,195,0,Notre Dame,Arizona,WR,OFF,Rookie
10,Brittan Golden,WR,28,71,186,3,West Texas A&M,Arizona,WR,OFF,1-4 Yrs
12,John Brown,WR,26,71,179,3,Pittsburg State,Arizona,WR,OFF,1-4 Yrs
17,Rico Richardson,WR,25,73,185,1,Jackson State,Arizona,WR,OFF,1-4 Yrs
16,Jaxon Shipley,WR,24,73,190,1,Texas,Arizona,WR,OFF,1-4 Yrs
13,Jaron Brown,WR,26,74,205,4,Clemson,Arizona,WR,OFF,1-4 Yrs
15,Michael Floyd,WR,26,74,220,5,Notre Dame,Arizona,WR,OFF,5-8 Yrs
11,Larry Fitzgerald,WR,32,75,218,13,Pittsburgh,Arizona,WR,OFF,13+ Yrs
65,Chris Chester,C,33,75,303,11,Oklahoma,Atlanta,OL,OFF,9-12 Yrs
62,James Stone,C,24,75,291,2,Tennessee,Atlanta,OL,OFF,1-4 Yrs
55,Alex Mack,C,30,76,311,8,California,Atlanta,OL,OFF,5-8 Yrs
68,Mike Person,C,28,76,300,6,Montana State,Atlanta,OL,OFF,5-8 Yrs
21,Desmond Trufant,CB,25,72,190,4,Washington,Atlanta,DB,DEF,1-4 Yrs
23,Jordan Sefon,CB,22,72,198,0,St. Cloud State,Atlanta,DB,DEF,Rookie
22,David Mims,CB,--,70,184,0,Texas State,Atlanta,DB,DEF,Rookie
23,Robert Alford,CB,27,70,186,4,Southeastern Louisiana,Atlanta,DB,DEF,1-4 Yrs
37,DeMarcus Van Dyke,CB,27,73,185,4,Miami,Atlanta,DB,DEF,1-4 Yrs
32,Jalen Collins,CB,23,73,203,2,LSU,Atlanta,DB,DEF,1-4 Yrs
5,Devonte Johnson,CB,23,73,185,0,Weber State,Atlanta,DB,DEF,Rookie
28,Akeem King,CB,23,73,212,2,San José State,Atlanta,DB,DEF,1-4 Yrs
29,Sharrod Neasman,DB,--,72,198,0,Florida Atlantic,Atlanta,DB,DEF,Rookie
27,Robenson Therezie,DB,24,69,212,2,Auburn,Atlanta,DB,DEF,1-4 Yrs
24,Brian Poole,DB,23,69,210,0,Florida,Atlanta,DB,DEF,Rookie
40,Damian Parms,DB,23,74,210,0,Florida Atlantic,Atlanta,DB,DEF,Rookie
95,Jonathan Babineaux,DE,34,74,300,12,Iowa,Atlanta,Front Seven,DEF,9-12 Yrs
--,Derrick Shelby,DE,27,74,280,5,Utah,Atlanta,Front Seven,DEF,5-8 Yrs
44,Vic Beasley Jr.,DE,24,74,246,2,Clemson,Atlanta,Front Seven,DEF,1-4 Yrs
99,Adrian Clayborn,DE,28,75,280,6,Iowa,Atlanta,Front Seven,DEF,5-8 Yrs
--,Nordly Capi,DE,24,75,249,1,Akron,Atlanta,Front Seven,DEF,1-4 Yrs
93,Malliciah Goodman,DE,26,76,276,4,Clemson,Atlanta,Front Seven,DEF,1-4 Yrs
--,Brandon Williams,DE,22,77,254,0,Southern Illinois,Atlanta,Front Seven,DEF,Rookie
77,Ra'Shede Hageman,DE,25,78,318,3,Minnesota,Atlanta,Front Seven,DEF,1-4 Yrs
97,Grady Jarrett,DT,23,72,305,2,Clemson,Atlanta,Front Seven,DEF,1-4 Yrs
67,Cory Johnson,DT,24,75,300,0,Kentucky,Atlanta,Front Seven,DEF,Rookie
74,Joey Mbu,DT,23,75,310,1,Houston,Atlanta,Front Seven,DEF,1-4 Yrs
94,Tyson Jackson,DT,30,76,296,8,LSU,Atlanta,Front Seven,DEF,5-8 Yrs
42,Patrick DiMarco,FB,27,73,234,5,South Carolina,Atlanta,Tailback,OFF,5-8 Yrs
67,Andy Levitre,G,30,74,303,8,Oregon State,Atlanta,OL,OFF,5-8 Yrs
--,Michael Huey,G,27,76,317,1,Texas,Atlanta,OL,OFF,1-4 Yrs
63,Ben Garland,G,28,77,308,2,Air Force,Atlanta,OL,OFF,1-4 Yrs
55,Paul Worrilow,LB,26,72,230,4,Delaware,Atlanta,Front Seven,DEF,1-4 Yrs
51,Will Ratelle,LB,23,71,250,0,North Dakota,Atlanta,Front Seven,DEF,Rookie
--,LaRoy Reynolds,LB,25,73,240,4,Virginia,Atlanta,Front Seven,DEF,1-4 Yrs
45,Deion Jones,LB,21,73,222,0,LSU,Atlanta,Front Seven,DEF,Rookie
51,Philip Wheeler,LB,31,74,245,9,Georgia Tech,Atlanta,Front Seven,DEF,9-12 Yrs
55,Sean Weatherspoon,LB,28,74,244,7,Missouri,Atlanta,Front Seven,DEF,5-8 Yrs
91,Courtney Upshaw,LB,26,74,272,5,Alabama,Atlanta,Front Seven,DEF,5-8 Yrs
39,Torrey Green,LB,22,74,230,0,Utah State,Atlanta,Front Seven,DEF,Rookie
56,Brooks Reed,LB,29,75,254,6,Arizona,Atlanta,Front Seven,DEF,5-8 Yrs
26,De'Vondre Campbell,LB,23,76,232,0,Minnesota,Atlanta,Front Seven,DEF,Rookie
3,Ivan McLennan,LB,23,76,233,0,Washington State,Atlanta,Front Seven,DEF,Rookie
41,Tyler Starr,LB,25,77,250,2,South Dakota,Atlanta,Front Seven,DEF,1-4 Yrs
47,Josh Harris,LS,27,73,224,5,Auburn,Atlanta,ST,ST,5-8 Yrs
93,Chris Mayes,NT,24,75,321,0,Georgia,Atlanta,Front Seven,DEF,Rookie
64,Collin Rahrig,OL,24,74,285,1,Indiana,Atlanta,OL,OFF,1-4 Yrs
--,Shahbaz Ahmed,OL,22,75,285,0,Temple,Atlanta,OL,OFF,Rookie
50,Jake Reed,OL,23,76,288,0,Indiana,Atlanta,OL,OFF,Rookie
--,Tom Compton,OT,27,77,308,4,South Dakota,Atlanta,OL,OFF,1-4 Yrs
70,Jake Matthews,OT,24,77,309,3,Texas A&M,Atlanta,OL,OFF,1-4 Yrs
72,Wes Schweitzer,OT,22,77,314,0,San José State,Atlanta,OL,OFF,Rookie
72,Bryce Harris,OT,27,78,300,5,Fresno State,Atlanta,OL,OFF,5-8 Yrs
--,Laurence Gibson,OT,25,78,305,1,Virginia Tech,Atlanta,OL,OFF,1-4 Yrs
73,Ryan Schraeder,OT,28,79,300,4,Valdosta State,Atlanta,OL,OFF,1-4 Yrs
5,Matt Bosher,P,28,72,208,6,Miami,Atlanta,ST,ST,5-8 Yrs
3,Matt Bryant,PK,41,69,203,15,Baylor,Atlanta,ST,ST,13+ Yrs
23,Nick Rose,PK,--,74,203,0,Texas,Atlanta,ST,ST,Rookie
8,Matt Simms,QB,27,75,210,2,Tennessee,Atlanta,QB,OFF,1-4 Yrs
2,Matt Ryan,QB,31,76,217,9,Boston College,Atlanta,QB,OFF,9-12 Yrs
12,Sean Renfree,QB,26,77,225,4,Duke,Atlanta,QB,OFF,1-4 Yrs
8,Matt Schaub,QB,35,78,245,13,Virginia,Atlanta,QB,OFF,13+ Yrs
26,Tevin Coleman,RB,23,72,210,2,Indiana,Atlanta,Tailback,OFF,1-4 Yrs
33,Terron Ward,RB,24,67,201,2,Oregon State,Atlanta,Tailback,OFF,1-4 Yrs
24,Devonta Freeman,RB,24,68,206,3,Florida State,Atlanta,Tailback,OFF,1-4 Yrs
35,Gus Johnson,RB,22,70,215,1,Stephen F Austin,Atlanta,Tailback,OFF,1-4 Yrs
22,Brandon Wilds,RB,23,73,225,0,South Carolina,Atlanta,Tailback,OFF,Rookie
42,Keanu Neal,S,20,72,211,0,Florida,Atlanta,DB,DEF,Rookie
37,Ricardo Allen,S,24,69,186,2,Purdue,Atlanta,DB,DEF,1-4 Yrs
30,Charles Godfrey,S,30,71,210,9,Iowa,Atlanta,DB,DEF,9-12 Yrs
36,Kemal Ishmael,SS,25,72,206,4,UCF,Atlanta,DB,DEF,1-4 Yrs
83,Jacob Tamme,TE,31,75,230,9,Kentucky,Atlanta,TE,OFF,9-12 Yrs
86,DJ Tialavea,TE,24,76,260,1,Utah State,Atlanta,TE,OFF,1-4 Yrs
82,Joshua Perkins,TE,22,76,227,0,Washington,Atlanta,TE,OFF,Rookie
18,Austin Hooper,TE,21,76,248,0,Stanford,Atlanta,TE,OFF,Rookie
80,Levine Toilolo,TE,24,80,265,4,Stanford,Atlanta,TE,OFF,1-4 Yrs
7,Devin Fuller,WR,22,72,194,0,UCLA,Atlanta,WR,OFF,Rookie
--,David Glidden,WR,24,67,185,0,Oklahoma State,Atlanta,WR,OFF,Rookie
4,Daje Johnson,WR,--,69,184,0,Texas,Atlanta,WR,OFF,Rookie
14,Eric Weems,WR,31,69,195,10,Bethune-Cookman,Atlanta,WR,OFF,9-12 Yrs
13,Aldrick Robinson,WR,27,70,187,4,SMU,Atlanta,WR,OFF,1-4 Yrs
15,Nick Williams,WR,25,70,184,2,Connecticut,Atlanta,WR,OFF,1-4 Yrs
16,Justin Hardy,WR,24,70,192,2,East Carolina,Atlanta,WR,OFF,1-4 Yrs
17,Devin Hester,WR,33,71,190,11,Miami,Atlanta,WR,OFF,9-12 Yrs
23,J.D. McKissic,WR,22,71,193,0,Arkansas State,Atlanta,WR,OFF,Rookie
12,Mohamed Sanu,WR,26,74,210,5,Rutgers,Atlanta,WR,OFF,5-8 Yrs
18,Jordan Leslie,WR,24,74,209,1,BYU,Atlanta,WR,OFF,1-4 Yrs
11,Julio Jones,WR,27,75,220,6,Alabama,Atlanta,WR,OFF,5-8 Yrs
89,C.J. Goodwin,WR,26,75,190,1,California (PA),Atlanta,WR,OFF,1-4 Yrs
66,Ryan Jensen,C,25,76,310,3,Colorado State-Pueblo,Baltimore,OL,OFF,1-4 Yrs
--,Anthony Fabiano,C,23,77,290,0,Harvard,Baltimore,OL,OFF,Rookie
1,Tavon Young,CB,22,69,183,0,Temple,Baltimore,DB,DEF,Rookie
21,Lardarius Webb,CB,30,70,182,8,Nicholls State,Baltimore,DB,DEF,5-8 Yrs
24,Kyle Arrington,CB,29,70,190,8,Hofstra,Baltimore,DB,DEF,5-8 Yrs
35,Shareece Wright,CB,29,71,182,6,USC,Baltimore,DB,DEF,5-8 Yrs
39,Will Davis,CB,26,71,190,4,Utah State,Baltimore,DB,DEF,1-4 Yrs
26,Maurice Canady,CB,22,73,193,0,Virginia,Baltimore,DB,DEF,Rookie
22,Jimmy Smith,CB,27,74,206,6,Colorado,Baltimore,DB,DEF,5-8 Yrs
32,Sheldon Price,CB,25,74,198,1,UCLA,Baltimore,DB,DEF,1-4 Yrs
42,Julian Wilson,CB,24,74,205,2,Oklahoma,Baltimore,DB,DEF,1-4 Yrs
38,Jumal Rolle,DB,26,72,188,3,Catawba,Baltimore,DB,DEF,1-4 Yrs
9,Matt Judon,DE,23,75,250,0,Grand Valley State,Baltimore,Front Seven,DEF,Rookie
93,Lawrence Guy,DE,26,76,305,6,Arizona State,Baltimore,Front Seven,DEF,5-8 Yrs
95,Kapron Lewis-Moore,DE,26,76,315,4,Notre Dame,Baltimore,Front Seven,DEF,1-4 Yrs
90,Bronson Kaufusi,DE,25,78,281,0,BYU,Baltimore,Front Seven,DEF,Rookie
96,Brent Urban,DE,25,79,295,3,Virginia,Baltimore,Front Seven,DEF,1-4 Yrs
98,Michael Pierce,DL,23,72,309,0,Samford,Baltimore,Front Seven,DEF,Rookie
--,Trevon Coley,DT,22,72,305,0,Florida Atlantic,Baltimore,Front Seven,DEF,Rookie
98,Brandon Williams,DT,27,73,335,4,Missouri Southern State,Baltimore,Front Seven,DEF,1-4 Yrs
97,Timmy Jernigan,DT,23,74,302,3,Florida State,Baltimore,Front Seven,DEF,1-4 Yrs
69,Willie Henry,DT,22,75,311,0,Michigan,Baltimore,Front Seven,DEF,Rookie
94,Carl Davis,DT,24,77,320,2,Iowa,Baltimore,Front Seven,DEF,1-4 Yrs
44,Kyle Juszczyk,FB,25,73,248,4,Harvard,Baltimore,Tailback,OFF,1-4 Yrs
53,Jeremy Zuttah,G,30,76,300,9,Rutgers,Baltimore,OL,OFF,9-12 Yrs
--,Jarell Broxton,G,23,77,325,0,Baylor,Baltimore,OL,OFF,Rookie
59,Arthur Brown,LB,26,72,240,4,Kansas State,Baltimore,Front Seven,DEF,1-4 Yrs
54,Zachary Orr,LB,24,72,255,3,North Texas,Baltimore,Front Seven,DEF,1-4 Yrs
--,Cavellis Luckett,LB,23,72,245,0,Middle Tennessee,Baltimore,Front Seven,DEF,Rookie
58,Elvis Dumervil,LB,32,71,255,11,Louisville,Baltimore,Front Seven,DEF,9-12 Yrs
56,Chris Carter,LB,27,73,240,6,Fresno State,Baltimore,Front Seven,DEF,5-8 Yrs
--,Victor Ochi,LB,22,73,241,0,Stony Brook,Baltimore,Front Seven,DEF,Rookie
50,Albert McClellan,LB,30,74,254,6,Marshall,Baltimore,Front Seven,DEF,5-8 Yrs
57,C.J. Mosley,LB,24,74,235,3,Alabama,Baltimore,Front Seven,DEF,1-4 Yrs
--,Patrick Onwuasor,LB,23,74,225,0,Portland State,Baltimore,Front Seven,DEF,Rookie
55,Terrell Suggs,LB,33,75,265,14,Arizona State,Baltimore,Front Seven,DEF,13+ Yrs
8,Kamalei Correa,LB,22,75,248,0,Boise State,Baltimore,Front Seven,DEF,Rookie
--,Mario Ojemudia,LB,22,75,249,0,Michigan,Baltimore,Front Seven,DEF,Rookie
45,Brennen Beyer,LB,23,76,256,1,Michigan,Baltimore,Front Seven,DEF,1-4 Yrs
90,Za'Darius Smith,LB,23,76,275,2,Kentucky,Baltimore,Front Seven,DEF,1-4 Yrs
4,Blaine Clausell,LB,24,79,315,1,Mississippi State,Baltimore,Front Seven,DEF,1-4 Yrs
46,Morgan Cox,LS,30,76,233,7,Tennessee,Baltimore,ST,ST,5-8 Yrs
73,Marshal Yanda,OG,31,75,305,10,Iowa,Baltimore,OL,OFF,9-12 Yrs
64,John Urschel,OG,25,75,305,3,Penn State,Baltimore,OL,OFF,1-4 Yrs
74,James Hurst,OT,24,77,312,3,North Carolina,Baltimore,OL,OFF,1-4 Yrs
71,Alex Lewis,OT,24,77,290,0,Nebraska,Baltimore,OL,OFF,Rookie
78,Ronnie Stanley,OT,22,77,304,0,Notre Dame,Baltimore,OL,OFF,Rookie
71,Rick Wagner,OT,26,78,310,4,Wisconsin,Baltimore,OL,OFF,1-4 Yrs
77,De'Ondre Wesley,OT,23,78,326,2,BYU,Baltimore,OL,OFF,1-4 Yrs
4,Sam Koch,P,33,73,219,11,Nebraska,Baltimore,ST,ST,9-12 Yrs
--,Wil Lutz,PK,22,72,190,0,Georgia State,Baltimore,ST,ST,Rookie
9,Justin Tucker,PK,26,73,183,5,Texas,Baltimore,ST,ST,5-8 Yrs
--,Josh Johnson,QB,30,75,205,8,San Diego,Baltimore,QB,OFF,5-8 Yrs
1,Jerrod Johnson,QB,27,77,251,1,Texas A&M,Baltimore,QB,OFF,1-4 Yrs
5,Joe Flacco,QB,31,78,245,9,Delaware,Baltimore,QB,OFF,9-12 Yrs
7,Ryan Mallett,QB,28,78,245,6,Arkansas,Baltimore,QB,OFF,5-8 Yrs
37,Javorius Allen,RB,24,72,220,2,USC,Baltimore,Tailback,OFF,1-4 Yrs
34,Lorenzo Taliaferro,RB,24,72,225,3,Coastal Carolina,Baltimore,Tailback,OFF,1-4 Yrs
29,Justin Forsett,RB,30,68,195,9,California,Baltimore,Tailback,OFF,9-12 Yrs
33,Trent Richardson,RB,26,69,225,4,Alabama,Baltimore,Tailback,OFF,1-4 Yrs
27,Terrance West,RB,25,70,225,3,Towson,Baltimore,Tailback,OFF,1-4 Yrs
28,Kenneth Dixon,RB,22,70,215,0,Louisiana Tech,Baltimore,Tailback,OFF,Rookie
23,Kendrick Lewis,S,28,72,205,7,Ole Miss,Baltimore,DB,DEF,5-8 Yrs
26,Matt Elam,S,24,70,200,4,Florida,Baltimore,DB,DEF,1-4 Yrs
--,Eric Weddle,S,31,71,200,10,Utah,Baltimore,DB,DEF,9-12 Yrs
41,Anthony Levine,S,29,71,200,5,Tennessee State,Baltimore,DB,DEF,5-8 Yrs
31,Terrence Brooks,S,25,71,200,3,Florida State,Baltimore,DB,DEF,1-4 Yrs
82,Benjamin Watson,TE,35,75,255,13,Georgia,Baltimore,TE,OFF,13+ Yrs
88,Dennis Pitta,TE,31,76,245,7,BYU,Baltimore,TE,OFF,5-8 Yrs
82,Nick Boyle,TE,23,76,260,2,Delaware,Baltimore,TE,OFF,1-4 Yrs
87,Maxx Williams,TE,22,76,250,2,Minnesota,Baltimore,TE,OFF,1-4 Yrs
80,Crockett Gillmore,TE,24,78,270,3,Colorado State,Baltimore,TE,OFF,1-4 Yrs
11,Mike Wallace,WR,29,72,205,8,Ole Miss,Baltimore,WR,OFF,5-8 Yrs
15,Chris Moore,WR,23,72,203,0,Cincinnati,Baltimore,WR,OFF,Rookie
89,Steve Smith Sr.,WR,37,69,195,16,Utah,Baltimore,WR,OFF,13+ Yrs
15,Michael Campanaro,WR,25,69,185,3,Wake Forest,Baltimore,WR,OFF,1-4 Yrs
81,Kaelin Clay,WR,24,70,195,2,Utah,Baltimore,WR,OFF,1-4 Yrs
6,Keenan Reynolds,WR,21,71,205,0,Navy,Baltimore,WR,OFF,Rookie
11,Kamar Aiken,WR,27,74,215,4,UCF,Baltimore,WR,OFF,1-4 Yrs
17,Jeremy Butler,WR,25,74,213,3,Tennessee-Martin,Baltimore,WR,OFF,1-4 Yrs
18,Breshad Perriman,WR,22,74,218,2,UCF,Baltimore,WR,OFF,1-4 Yrs
84,Chris Matthews,WR,26,77,218,3,Kentucky,Baltimore,WR,OFF,1-4 Yrs
83,Daniel Brown,WR,24,77,225,2,James Madison,Baltimore,WR,OFF,1-4 Yrs
12,Darren Waller,WR,23,78,245,2,Georgia Tech,Baltimore,WR,OFF,1-4 Yrs
--,Robert Kugler,C,23,75,294,0,Purdue,Buffalo,OL,OFF,Rookie
70,Eric Wood,C,30,76,310,8,Louisville,Buffalo,OL,OFF,5-8 Yrs
44,Sammy Seamster,CB,25,72,205,2,Middle Tennessee,Buffalo,DB,DEF,1-4 Yrs
37,Nickell Robey,CB,24,68,165,4,USC,Buffalo,DB,DEF,1-4 Yrs
--,Javier Arenas,CB,28,69,197,5,Alabama,Buffalo,DB,DEF,5-8 Yrs
--,Sterling Moore,CB,26,70,202,6,SMU,Buffalo,DB,DEF,5-8 Yrs
28,Ronald Darby,CB,22,71,193,2,Florida State,Buffalo,DB,DEF,1-4 Yrs
13,Kevon Seymour,CB,22,71,186,0,USC,Buffalo,DB,DEF,Rookie
39,Mario Butler,CB,27,73,187,3,Georgia Tech,Buffalo,DB,DEF,1-4 Yrs
--,Corey White,CB,26,73,210,5,Samford,Buffalo,DB,DEF,5-8 Yrs
24,Stephon Gilmore,CB,25,73,190,5,South Carolina,Buffalo,DB,DEF,5-8 Yrs
55,Jerry Hughes,DE,27,74,254,7,TCU,Buffalo,Front Seven,DEF,5-8 Yrs
69,Jerel Worthy,DE,26,74,308,3,Michigan State,Buffalo,Front Seven,DEF,1-4 Yrs
90,Shaq Lawson,DE,22,75,270,0,Clemson,Buffalo,Front Seven,DEF,Rookie
--,Leger Douzable,DE,30,76,284,9,UCF,Buffalo,Front Seven,DEF,9-12 Yrs
93,Lavar Edwards,DE,26,76,275,4,LSU,Buffalo,Front Seven,DEF,1-4 Yrs
54,Max Valles,DE,21,76,250,1,Virginia,Buffalo,Front Seven,DEF,1-4 Yrs
91,Manny Lawson,DE,32,77,240,11,NC State,Buffalo,Front Seven,DEF,9-12 Yrs
56,Cedric Reed,DE,23,77,269,1,Texas,Buffalo,Front Seven,DEF,1-4 Yrs
95,Bryson Albright,DL,22,77,225,0,Miami (OH),Buffalo,Front Seven,DEF,Rookie
95,Kyle Williams,DT,33,73,303,11,LSU,Buffalo,Front Seven,DEF,9-12 Yrs
99,Marcell Dareus,DT,26,75,331,6,Alabama,Buffalo,Front Seven,DEF,5-8 Yrs
92,Adolphus Washington,DT,23,75,297,0,Ohio State,Buffalo,Front Seven,DEF,Rookie
